"filename", "language", "Haskell", "comment", "blank", "total"
"/home/gsh/code/haskell/regtools/src/Explore/CmdOpts.hs", "Haskell", 37, 6, 15, 58
"/home/gsh/code/haskell/regtools/src/Explore/EvalDSL.hs", "Haskell", 77, 2, 18, 97
"/home/gsh/code/haskell/regtools/src/Explore/ExploreM.hs", "Haskell", 44, 5, 10, 59
"/home/gsh/code/haskell/regtools/src/Explore/LexDSL.hs", "Haskell", 124, 0, 25, 149
"/home/gsh/code/haskell/regtools/src/Explore/Magic.hs", "Haskell", 180, 13, 39, 232
"/home/gsh/code/haskell/regtools/src/Explore/Optics/General.hs", "Haskell", 107, 18, 22, 147
"/home/gsh/code/haskell/regtools/src/Explore/Optics/NK.hs", "Haskell", 204, 6, 30, 240
"/home/gsh/code/haskell/regtools/src/Explore/Optics/Root.hs", "Haskell", 140, 7, 28, 175
"/home/gsh/code/haskell/regtools/src/Explore/Optics/Utils.hs", "Haskell", 15, 0, 3, 18
"/home/gsh/code/haskell/regtools/src/Explore/Optics/VK.hs", "Haskell", 30, 0, 7, 37
"/home/gsh/code/haskell/regtools/src/Explore/ParseDSL.hs", "Haskell", 269, 8, 39, 316
"/home/gsh/code/haskell/regtools/src/Explore/Plugins.hs", "Haskell", 64, 0, 13, 77
"/home/gsh/code/haskell/regtools/src/Explore/Repl.hs", "Haskell", 104, 1, 14, 119
"/home/gsh/code/haskell/regtools/src/Hash.hs", "Haskell", 35, 0, 9, 44
"/home/gsh/code/haskell/regtools/src/Lib.hs", "Haskell", 343, 3, 54, 400
"/home/gsh/code/haskell/regtools/src/ParseM.hs", "Haskell", 93, 42, 22, 157
"/home/gsh/code/haskell/regtools/src/Time.hs", "Haskell", 13, 1, 4, 18
"/home/gsh/code/haskell/regtools/src/Types.hs", "Haskell", 565, 104, 142, 811
"Total", "-", 2444, 216, 494, 3154
